Username,Platform,Followers,Engagement Rate,Location,Industry,Contact Email,Campaign ROI,Ad Cost (USD)
Ahmed_Al-Zahrani,YouTube,465655,4.64,Kuwait,Travel,ahmed_al-zahrani@example.com,20,21606.39
Layla_Al-Hashimi,Instagram,419242,0.52,Qatar,Fashion,layla_al-hashimi@example.com,27,2180.06
Khaled_Al-Sharif,Twitter,316571,0.82,UAE,Food,khaled_al-sharif@example.com,22,2595.88
Aisha_Al-Sharif,Instagram,24872,4.14,Qatar,Tech,aisha_al-sharif@example.com,18,1029.7
Noor_Al-Khalifa,YouTube,396129,0.59,Saudi Arabia,Food,noor_al-khalifa@example.com,26,2337.16
Fatima_Al-Hassan,YouTube,259504,1.58,Oman,Beauty,fatima_al-hassan@example.com,12,4100.16
Noor_Al-Mubarak,YouTube,165380,0.69,Saudi Arabia,Travel,noor_al-mubarak@example.com,15,1141.12
Fatima_Al-Farsi,YouTube,400278,3.36,UAE,Food,fatima_al-farsi@example.com,20,13449.34
Sara_Al-Khalifa,Instagram,420161,4.41,Kuwait,Beauty,sara_al-khalifa@example.com,17,18529.1
Yousef_Al-Mutawa,Twitter,276973,1.24,Saudi Arabia,Travel,yousef_al-mutawa@example.com,20,3434.47
Khaled_Al-Salem,Twitter,97604,0.59,Oman,Tech,khaled_al-salem@example.com,22,575.86
Omar_Al-Khalifa,YouTube,313212,1.88,UAE,Fashion,omar_al-khalifa@example.com,24,5888.39
Layla_Al-Khalifa,Instagram,154766,2.0,Qatar,Travel,layla_al-khalifa@example.com,18,3095.32
Sara_Al-Jaber,YouTube,294723,3.39,Saudi Arabia,Fashion,sara_al-jaber@example.com,15,9991.11
Fatima_Al-Salem,Instagram,476662,1.91,UAE,Fashion,fatima_al-salem@example.com,27,9104.24
Sara_Al-Farsi,Instagram,178563,3.19,Saudi Arabia,Tech,sara_al-farsi@example.com,11,5696.16
Ahmed_Al-Jaber,Twitter,29466,2.35,Qatar,Tech,ahmed_al-jaber@example.com,12,692.45
Hassan_Al-Mubarak,YouTube,222717,2.97,Saudi Arabia,Fashion,hassan_al-mubarak@example.com,12,6614.69
Omar_Al-Mubarak,Twitter,35022,0.65,Saudi Arabia,Travel,omar_al-mubarak@example.com,28,227.64
Hassan_Al-Salem,Instagram,159066,1.04,Oman,Tech,hassan_al-salem@example.com,13,1654.29
Ahmed_Al-Mutawa,Instagram,323608,1.15,UAE,Food,ahmed_al-mutawa@example.com,27,3721.49
Khaled_Al-Jaber,YouTube,332408,0.7,UAE,Beauty,khaled_al-jaber@example.com,24,2326.86
Fatima_Al-Mutawa,Instagram,333002,2.82,Qatar,Beauty,fatima_al-mutawa@example.com,21,9390.66
Aisha_Al-Jaber,Instagram,135116,2.47,Qatar,Beauty,aisha_al-jaber@example.com,14,3337.37
Khaled_Al-Khalifa,YouTube,85830,2.87,UAE,Travel,khaled_al-khalifa@example.com,10,2463.32
Hassan_Al-Hassan,Instagram,457933,1.5,Kuwait,Travel,hassan_al-hassan@example.com,16,6869.0
Omar_Al-Mutawa,Twitter,116093,3.74,Qatar,Tech,omar_al-mutawa@example.com,26,4341.88
Hassan_Al-Jaber,YouTube,296720,2.08,UAE,Beauty,hassan_al-jaber@example.com,10,6171.78
Omar_Al-Salem,YouTube,453478,1.87,Oman,Tech,omar_al-salem@example.com,12,8480.04
Layla_Al-Mutawa,Instagram,459178,4.42,Qatar,Travel,layla_al-mutawa@example.com,18,20295.67
Layla_Al-Farsi,Instagram,425611,0.74,Oman,Food,layla_al-farsi@example.com,21,3149.52
Khaled_Al-Mutawa,YouTube,494419,1.15,Qatar,Food,khaled_al-mutawa@example.com,19,5685.82
Layla_Al-Hassan,YouTube,476388,3.05,Oman,Fashion,layla_al-hassan@example.com,11,14529.83
Fatima_Al-Jaber,YouTube,66437,3.66,UAE,Fashion,fatima_al-jaber@example.com,28,2431.59
Hassan_Al-Hashimi,Instagram,311163,1.38,UAE,Travel,hassan_al-hashimi@example.com,23,4294.05
Layla_Al-Mubarak,Twitter,83261,2.18,Qatar,Fashion,layla_al-mubarak@example.com,28,1815.09
Ahmed_Al-Khalifa,YouTube,89029,1.52,Qatar,Tech,ahmed_al-khalifa@example.com,22,1353.24
Aisha_Al-Salem,YouTube,435076,0.87,Kuwait,Food,aisha_al-salem@example.com,26,3785.16
Sara_Al-Zahrani,Twitter,255956,0.51,Oman,Tech,sara_al-zahrani@example.com,21,1305.38
Noor_Al-Farsi,Instagram,185716,4.76,UAE,Tech,noor_al-farsi@example.com,25,8840.08
Yousef_Al-Farsi,YouTube,423939,2.16,Oman,Food,yousef_al-farsi@example.com,11,9157.08
Noor_Al-Salem,YouTube,192310,4.6,Qatar,Beauty,noor_al-salem@example.com,22,8846.26
Omar_Al-Farsi,Twitter,226160,3.45,Qatar,Travel,omar_al-farsi@example.com,14,7802.52
Sara_Al-Hashimi,Twitter,255668,3.83,Saudi Arabia,Food,sara_al-hashimi@example.com,27,9792.08
Aisha_Al-Mubarak,Instagram,266294,4.97,Oman,Tech,aisha_al-mubarak@example.com,26,13234.81
Omar_Al-Jaber,Twitter,95385,3.58,Oman,Beauty,omar_al-jaber@example.com,25,3414.78
Noor_Al-Jaber,Twitter,238516,2.88,Saudi Arabia,Tech,noor_al-jaber@example.com,12,6869.26
Noor_Al-Mutawa,YouTube,300448,3.09,UAE,Food,noor_al-mutawa@example.com,21,9283.84
Yousef_Al-Salem,YouTube,462933,2.83,Kuwait,Travel,yousef_al-salem@example.com,19,13101.0
Aisha_Al-Khalifa,Instagram,453824,3.82,UAE,Fashion,aisha_al-khalifa@example.com,20,17336.08
Hassan_Al-Zahrani,YouTube,431794,1.9,Saudi Arabia,Food,hassan_al-zahrani@example.com,10,8204.09
Ahmed_Al-Sharif,Instagram,95030,3.33,UAE,Food,ahmed_al-sharif@example.com,16,3164.5
Khaled_Al-Hashimi,YouTube,57287,1.94,Saudi Arabia,Tech,khaled_al-hashimi@example.com,22,1111.37
Yousef_Al-Zahrani,YouTube,149289,0.7,UAE,Fashion,yousef_al-zahrani@example.com,28,1045.02
Fatima_Al-Hashimi,Instagram,46507,1.36,Saudi Arabia,Beauty,fatima_al-hashimi@example.com,20,632.5
Aisha_Al-Zahrani,YouTube,40598,2.1,UAE,Fashion,aisha_al-zahrani@example.com,16,852.56
Fatima_Al-Mubarak,Instagram,259879,3.32,Saudi Arabia,Fashion,fatima_al-mubarak@example.com,14,8627.98
Noor_Al-Hashimi,YouTube,292188,0.79,Kuwait,Tech,noor_al-hashimi@example.com,14,2308.29
Sara_Al-Mubarak,Twitter,303012,4.33,Kuwait,Travel,sara_al-mubarak@example.com,25,13120.42
Hassan_Al-Mutawa,Twitter,441534,1.95,Oman,Tech,hassan_al-mutawa@example.com,14,8609.91
Noor_Al-Zahrani,YouTube,300261,4.14,UAE,Fashion,noor_al-zahrani@example.com,13,12430.81
Khaled_Al-Mubarak,YouTube,157902,2.32,UAE,Tech,khaled_al-mubarak@example.com,14,3663.33
Aisha_Al-Hassan,YouTube,112548,0.93,Oman,Food,aisha_al-hassan@example.com,13,1046.7
Khaled_Al-Zahrani,Twitter,359735,3.62,Kuwait,Food,khaled_al-zahrani@example.com,16,13022.41
Ahmed_Al-Farsi,Instagram,58825,2.32,Kuwait,Beauty,ahmed_al-farsi@example.com,12,1364.74
Fatima_Al-Sharif,Twitter,260739,3.85,UAE,Beauty,fatima_al-sharif@example.com,15,10038.45
Omar_Al-Zahrani,Twitter,228070,1.73,UAE,Tech,omar_al-zahrani@example.com,17,3945.61
Hassan_Al-Sharif,YouTube,363384,3.15,Qatar,Food,hassan_al-sharif@example.com,12,11446.6
Sara_Al-Mutawa,Twitter,350228,4.68,Qatar,Food,sara_al-mutawa@example.com,18,16390.67
Layla_Al-Sharif,Twitter,113801,3.8,Saudi Arabia,Tech,layla_al-sharif@example.com,17,4324.44
Layla_Al-Jaber,Instagram,429720,3.0,UAE,Tech,layla_al-jaber@example.com,14,12891.6
Yousef_Al-Khalifa,YouTube,333436,3.03,Oman,Food,yousef_al-khalifa@example.com,10,10103.11
Ahmed_Al-Hashimi,YouTube,50088,3.17,Oman,Tech,ahmed_al-hashimi@example.com,28,1587.79
Yousef_Al-Hashimi,Twitter,389171,1.49,UAE,Tech,yousef_al-hashimi@example.com,19,5798.65
Fatima_Al-Khalifa,Twitter,347478,2.46,Saudi Arabia,Beauty,fatima_al-khalifa@example.com,21,8547.96
Ahmed_Al-Mubarak,YouTube,273987,2.03,Qatar,Travel,ahmed_al-mubarak@example.com,28,5561.94
Noor_Al-Sharif,Twitter,365381,2.23,Saudi Arabia,Beauty,noor_al-sharif@example.com,25,8148.0
Omar_Al-Hassan,YouTube,163501,3.82,Kuwait,Food,omar_al-hassan@example.com,24,6245.74
Fatima_Al-Zahrani,Instagram,19599,3.74,UAE,Tech,fatima_al-zahrani@example.com,19,733.0
Hassan_Al-Khalifa,Twitter,243360,4.27,UAE,Fashion,hassan_al-khalifa@example.com,16,10391.47
Khaled_Al-Farsi,Instagram,231680,4.22,Oman,Travel,khaled_al-farsi@example.com,29,9776.9
Yousef_Al-Mubarak,Twitter,367837,0.81,Qatar,Beauty,yousef_al-mubarak@example.com,15,2979.48
Yousef_Al-Sharif,YouTube,365151,2.16,Oman,Tech,yousef_al-sharif@example.com,25,7887.26
Sara_Al-Salem,Twitter,201265,4.9,UAE,Beauty,sara_al-salem@example.com,15,9861.98
Sara_Al-Hassan,Twitter,296390,2.31,UAE,Beauty,sara_al-hassan@example.com,20,6846.61
Omar_Al-Sharif,Instagram,414826,4.26,UAE,Fashion,omar_al-sharif@example.com,13,17671.59
Khaled_Al-Hassan,YouTube,377643,3.11,Oman,Beauty,khaled_al-hassan@example.com,16,11744.7
Aisha_Al-Farsi,YouTube,237676,1.14,Oman,Tech,aisha_al-farsi@example.com,14,2709.51
Sara_Al-Sharif,Twitter,303107,2.9,Saudi Arabia,Tech,sara_al-sharif@example.com,28,8790.1
Ahmed_Al-Salem,Instagram,337531,1.27,Kuwait,Food,ahmed_al-salem@example.com,13,4286.64
Hassan_Al-Farsi,Instagram,212292,0.72,Saudi Arabia,Food,hassan_al-farsi@example.com,26,1528.5
Yousef_Al-Jaber,YouTube,392614,2.83,Oman,Food,yousef_al-jaber@example.com,16,11110.98
Layla_Al-Salem,Instagram,228664,3.4,Saudi Arabia,Tech,layla_al-salem@example.com,26,7774.58
Omar_Al-Hashimi,Instagram,152083,1.08,Qatar,Fashion,omar_al-hashimi@example.com,29,1642.5
Layla_Al-Zahrani,YouTube,429707,4.96,Kuwait,Tech,layla_al-zahrani@example.com,24,21313.47
Aisha_Al-Mutawa,Twitter,421371,3.53,Saudi Arabia,Food,aisha_al-mutawa@example.com,12,14874.4
Yousef_Al-Hassan,Twitter,401637,3.36,Oman,Travel,yousef_al-hassan@example.com,25,13495.0
Noor_Al-Hassan,YouTube,415261,1.97,Oman,Travel,noor_al-hassan@example.com,19,8180.64
Ahmed_Al-Hassan,Instagram,154062,3.58,Kuwait,Travel,ahmed_al-hassan@example.com,13,5515.42
Aisha_Al-Hashimi,Twitter,12491,1.66,Oman,Travel,aisha_al-hashimi@example.com,11,207.35
Layla_Al-Said_1835,Snapchat,211820,7.264159569210604,Bahrain,Travel,layla.al-said.1835@example.com,22,9198.2155861925
Aisha_Al-Maktoum_8629,Snapchat,105229,6.7598863337314805,Bahrain,Lifestyle,aisha.al-maktoum.8629@example.com,25,5336.650793463978
Abdullah_Al-Said_4175,Snapchat,251034,8.205198816139605,Kuwait,Tech,abdullah.al-said.4175@example.com,18,46895.61975450181
Noor_Al-Salem_3128,Snapchat,994143,9.87126027606346,Saudi Arabia,Travel,noor.al-salem.3128@example.com,11,15586.74311405278
Reem_Al-Jaber_2599,Snapchat,894398,6.081648394381368,UAE,Tech,reem.al-jaber.2599@example.com,18,42693.238402381234
